PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709062.047,247495.29,30.236,10022020,52,000.40  -,,[],[],[],['000.60'],[],['001.20'],[],[],['001.25'],[],[],[],[],[],[],001.25
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709034.054,247512.749,29.629,10022020,51,000.40  -,,[],[],[],['000.60'],[],[],[],[],['002.12'],[],[],[],['002.00'],[],[],002.12
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709137.28,247567.485,30.366,10022020,31,000.40  -,,[],[],[],['000.60'],[],['001.00'],['001.20'],[],"['001.60', '001.64']",[],[],[],[],[],[],001.65
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6708883.876,247602.092,29.182,11022022,44,0.20,,[],[],[],['0.80'],[],[],[],[],['4.22'],[],[],[],[],[],[],4.24
,Kaarinan kaupunki,Kaarinan kaupunki,20463,PO - 0,6708977.956,247603.327,29.287,12092022,5,000.00  -        Ma,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['003.40'],006.60
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6708958.977,247610.206,29.614,11022022,47,0.20,,[],[],[],['0.66'],[],[],[],[],"['0.28', '0.94']",[],[],[],[],[],[],0.96
,Kaarinan kaupunki,Kaarinan kaupunki,20005 -,NO 1 - - -,6708864.376,247614.8,29.291,16032022,84,,,[],[],[],"['0.5', '1.00', '2.00', '3.00']",[],[],[],[],[],[],[],[],[],[],[],
,Kaarinan kaupunki,Kaarinan kaupunki,20463,PO - 0,6708976.878,247621.308,29.193,12092022,4,000.00  -        Ma,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['003.60'],006.60
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709456.052,246173.69,27.925,14122020,30,000.00  -,,[],[],[],['000.20'],[],[],[],[],[],"['009.00', '009.15']",[],[],[],[],[],009.19
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709398.984,246194.755,27.607,14122020,29,000.00  -,,[],[],[],['000.20'],[],['016.00'],[],[],[],"['017.60', '018.51']",[],[],[],[],[],018.55
,Kaarinan kaupunki,Kaarinan kaupunki,1480,PA  0 0,6709528.258,246197.288,28.129,17012014,2,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40']",[],[],[],[],[],[],[],[],[],[],[],15.54
,Kaarinan kaupunki,Kaarinan kaupunki,1480,PA  0 0,6709417.055,246256.83,27.134,17012014,7,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40', '14.60', '14.80', '15.00', '15.20', '15.40']",[],[],[],[],[],[],[],[],[],[],[],19.12
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709502.68,246287.244,28.027,14122020,32,000.00  -,,[],[],[],"['000.20', '001.00']",[],['000.60'],[],[],[],"['011.20', '011.72']",[],[],[],[],[],011.77
